"",matched_features
"Glycine, serine and threonine metabolism",cpd:C00581; cpd:C00188; cpd:C00258; cpd:C00300; hsa:2593; hsa:113675; hsa:23464; hsa:211; hsa:275; hsa:1738; hsa:5223; hsa:669
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,cpd:C00350; hsa:8818; hsa:51227; hsa:54965; hsa:93183; hsa:55650; hsa:23556; hsa:93210; hsa:27315; hsa:80235
Vitamin B6 metabolism,cpd:C00534; hsa:55163; hsa:57026; hsa:8566
Glycosaminoglycan biosynthesis - heparan sulfate or heparin,hsa:11285; hsa:126792; hsa:26229
Ether lipid metabolism,cpd:C01233; cpd:C00670; hsa:5048; hsa:5049; hsa:8611; hsa:8605; hsa:23646
Butanoate metabolism,cpd:C00025; hsa:65985; hsa:1892; hsa:7915; hsa:116285
"Neomycin, kanamycin and gentamicin biosynthesis",hsa:2645
Ascorbate and aldarate metabolism,cpd:C00137; hsa:219; hsa:10327
Sulfur metabolism,hsa:6821; hsa:9060; hsa:9061
Mannose type O-glycan biosynthesis,hsa:10585; hsa:29954; hsa:55624; hsa:11041; hsa:729920
Glyoxylate and dicarboxylate metabolism,cpd:C00025; cpd:C00258; hsa:4190; hsa:4191; hsa:5095; hsa:1738; hsa:275; hsa:847; hsa:55902
"Phenylalanine, tyrosine and tryptophan biosynthesis",hsa:2805; hsa:2806
Phenylalanine metabolism,hsa:2805; hsa:2806; hsa:4282
Lipoic acid metabolism,hsa:387787; hsa:11019; hsa:116285; hsa:5160; hsa:5162; hsa:1738; hsa:55753; hsa:275
"Valine, leucine and isoleucine biosynthesis",cpd:C00188; hsa:113675
Histidine metabolism,cpd:C00025; hsa:10841; hsa:131669; hsa:55748; hsa:219
Amino sugar and nucleotide sugar metabolism,hsa:10020; hsa:54187; hsa:55907; hsa:2592; hsa:10007; hsa:4351; hsa:5372; hsa:2645; hsa:7264; hsa:1727; hsa:51167; hsa:51700; hsa:51706; hsa:606495
Selenocompound metabolism,hsa:7296; hsa:22928; hsa:92935; hsa:9060; hsa:9061
Various types of N-glycan biosynthesis,hsa:4121; hsa:8703; hsa:4122; hsa:4124; hsa:284004
alpha-Linolenic acid metabolism,cpd:C00157; hsa:51; hsa:8605
Galactose metabolism,cpd:C00137; hsa:5213; hsa:5214; hsa:2595; hsa:2645; hsa:2720; hsa:2592
"Alanine, aspartate and glutamate metabolism",cpd:C00025; cpd:C12270; hsa:339983; hsa:2805; hsa:2806; hsa:7915; hsa:2744; hsa:1373
Linoleic acid metabolism,cpd:C00157; hsa:8605
Taurine and hypotaurine metabolism,hsa:1036; hsa:84890
Ubiquinone and other terpenoid-quinone biosynthesis,hsa:10229; hsa:154807; hsa:79001; hsa:51117
Pentose and glucuronate interconversions,hsa:10327; hsa:6652; hsa:27294; hsa:729920
Phosphonate and phosphinate metabolism,hsa:5833
Starch and sucrose metabolism,hsa:2595; hsa:5169; hsa:283209; hsa:2645; hsa:280
Pantothenate and CoA biosynthesis,hsa:5169; hsa:1806; hsa:79717; hsa:219
beta-Alanine metabolism,hsa:1892; hsa:219; hsa:1806; hsa:55748; hsa:51
Sphingolipid metabolism,hsa:55331; hsa:427; hsa:8611; hsa:91012; hsa:8560; hsa:64781; hsa:10825; hsa:4758; hsa:2720; hsa:8879
Aminoacyl-tRNA biosynthesis,cpd:C00188; cpd:C00025; hsa:79731; hsa:23438; hsa:2193; hsa:92935; hsa:10352; hsa:25973; hsa:124454
Glycosphingolipid biosynthesis - globo and isoglobo series,hsa:10317; hsa:6489; hsa:2523; hsa:8706
Glycosphingolipid biosynthesis - ganglio series,hsa:2720; hsa:6489; hsa:30815; hsa:256435; hsa:8869
Retinol metabolism,hsa:128; hsa:195814; hsa:56603; hsa:10901; hsa:8228
"Valine, leucine and isoleucine degradation",hsa:593; hsa:1738; hsa:549; hsa:1892; hsa:3712; hsa:3032; hsa:1629; hsa:5095; hsa:219; hsa:65985
Arachidonic acid metabolism,cpd:C00157; cpd:C04742; cpd:C14777; hsa:247; hsa:242; hsa:2879; hsa:5742; hsa:8605; hsa:10728; hsa:80142; hsa:9536
Fatty acid elongation,hsa:5538; hsa:51102; hsa:1892; hsa:3032; hsa:51495; hsa:11332; hsa:122970; hsa:83401
Terpenoid backbone biosynthesis,hsa:10654; hsa:57107; hsa:51449
One carbon pool by folate,hsa:25902; hsa:275; hsa:10841; hsa:4524; hsa:1738; hsa:27430; hsa:191
Biotin metabolism,hsa:3141
Folate biosynthesis,hsa:5860; hsa:8836; hsa:249; hsa:4338; hsa:5092
Tyrosine metabolism,hsa:220074; hsa:128; hsa:81889; hsa:2954; hsa:2805; hsa:2806; hsa:4282; hsa:7306
Glycosaminoglycan degradation,hsa:411; hsa:2720; hsa:4669
D-Amino acid metabolism,hsa:2744
Fatty acid degradation,hsa:3032; hsa:51; hsa:1892; hsa:128; hsa:219; hsa:2181; hsa:1375; hsa:1376
Biosynthesis of unsaturated fatty acids,hsa:11332; hsa:122970
Steroid biosynthesis,hsa:7108; hsa:4047; hsa:50814; hsa:6646; hsa:1591
Tryptophan metabolism,hsa:15; hsa:1892; hsa:1738; hsa:847; hsa:219
Drug metabolism - cytochrome P450,hsa:2941; hsa:2948; hsa:2950; hsa:4259; hsa:9446; hsa:128
Primary bile acid biosynthesis,hsa:10858; hsa:10998; hsa:10005
Glycosphingolipid biosynthesis - lacto and neolacto series,hsa:8703; hsa:10402; hsa:2523; hsa:6489; hsa:10317; hsa:8706
Metabolism of xenobiotics by cytochrome P450,hsa:2941; hsa:2948; hsa:4259; hsa:9446; hsa:128; hsa:2950; hsa:27294; hsa:374875
Steroid hormone biosynthesis,hsa:6715; hsa:79644; hsa:374875; hsa:3291; hsa:79154; hsa:7923; hsa:1588; hsa:220074
Fatty acid biosynthesis,hsa:55301; hsa:51102; hsa:27349; hsa:31; hsa:2181
